Time,1,2,3,4
0.000000,-8775.759789,-11282.302294,-400000.000000,-400000.000000
0.004023,-8696.318709,-11194.945716,-400000.000000,-400000.000000
0.008047,-8628.703192,-11149.169344,-400000.000000,-400000.000000
0.012070,-8637.667732,-11178.923986,-400000.000000,-400000.000000
0.016093,-8700.133407,-11223.937419,-400000.000000,-400000.000000
0.020117,-8701.754654,-11229.087261,-400000.000000,-400000.000000
0.024140,-8704.711044,-11239.577680,-400000.000000,-400000.000000
0.028163,-8706.809128,-11241.771131,-400000.000000,-400000.000000
0.032187,-8705.378616,-11234.046368,-400000.000000,-400000.000000
0.036210,-8701.182449,-11223.937419,-400000.000000,-400000.000000
0.040233,-8700.228775,-11220.981028,-400000.000000,-400000.000000
0.044256,-8695.555770,-11213.447000,-400000.000000,-400000.000000
0.048280,-8689.070784,-11204.959298,-400000.000000,-400000.000000
0.052303,-8684.016309,-11200.572395,-400000.000000,-400000.000000
0.056326,-8682.681165,-11195.327186,-400000.000000,-400000.000000
0.060350,-8679.534039,-11193.515205,-400000.000000,-400000.000000
0.064373,-8673.811993,-11195.899391,-400000.000000,-400000.000000
0.068396,-8668.566783,-11196.471595,-400000.000000,-400000.000000
0.072420,-8667.040904,-11192.656898,-400000.000000,-400000.000000
0.076443,-8664.179881,-11196.853065,-400000.000000,-400000.000000
0.080466,-8661.986430,-11200.000191,-400000.000000,-400000.000000
0.084490,-8662.749369,-11190.558814,-400000.000000,-400000.000000
0.088513,-8664.752086,-11184.359930,-400000.000000,-400000.000000
0.092536,-8665.801128,-11184.646032,-400000.000000,-400000.000000
0.096560,-8666.659435,-11179.782293,-400000.000000,-400000.000000
0.100583,-8667.517742,-11180.449865,-400000.000000,-400000.000000
0.104606,-8668.662151,-11190.654181,-400000.000000,-400000.000000
0.108630,-8665.991863,-11198.188209,-400000.000000,-400000.000000
0.112653,-8661.128123,-11202.861214,-400000.000000,-400000.000000
0.116676,-8660.651286,-11200.190926,-400000.000000,-400000.000000
0.120699,-8665.133556,-11194.754981,-400000.000000,-400000.000000
0.124723,-8665.228923,-11190.272712,-400000.000000,-400000.000000
0.128746,-8667.613109,-11188.937567,-400000.000000,-400000.000000
0.132769,-8671.809277,-11189.414405,-400000.000000,-400000.000000
0.136793,-8672.667584,-11194.373512,-400000.000000,-400000.000000
0.140816,-8665.801128,-11196.280860,-400000.000000,-400000.000000
0.144839,-8667.613109,-11195.804023,-400000.000000,-400000.000000
